MO;pHCaCl2;K;Ca;Mg;H+Al;Al;S;B;Cu;Fe;Mn;Zn;SB;CTC_efetiva;CTC_total;V
19.0;4.0;1.2;5.0;3.0;65.0;7.0;73.0;0.7;3.8;7.0;22.0;1.3;9.2;16.2;74.2;12.398921832884096
20.0;3.7;1.5;9.0;2.0;88.0;16.0;82.0;0.46;8.2;16.0;33.0;2.9;12.5;28.5;100.5;12.437810945273633
20.0;4.0;1.5;5.0;1.0;61.0;13.0;56.0;0.69;6.5;16.0;16.0;2.1;7.5;20.5;68.5;10.948905109489052
20.0;4.0;1.6;5.0;2.0;64.0;7.0;53.0;0.19;6.0;15.0;24.7;1.9;8.6;15.6;72.6;11.84573002754821
19.0;4.1;1.6;10.0;2.0;54.0;14.0;79.0;0.97;8.9;21.0;30.2;2.0;13.6;27.6;67.6;20.118343195266274
16.0;4.1;1.5;6.0;1.0;47.0;11.0;42.0;0.37;4.2;12.0;10.0;1.4;8.5;19.5;55.5;15.315315315315313
18.0;4.1;1.4;8.0;3.0;64.0;11.0;37.0;0.25;6.0;19.0;25.6;2.0;12.4;23.4;76.4;16.230366492146597
17.0;4.1;1.6;6.0;3.0;81.0;15.0;35.0;0.47;6.1;11.0;23.0;2.0;10.6;25.6;91.6;11.572052401746726
17.0;4.2;1.6;6.0;3.0;80.0;14.0;33.0;0.45;6.1;11.0;23.0;1.9;10.6;24.6;90.6;11.699779249448124
17.0;4.0;1.4;9.0;1.0;77.0;5.0;48.0;0.22;5.5;10.0;10.6;2.2;11.4;16.4;88.4;12.895927601809953
25.0;4.0;1.3;4.0;1.0;71.0;14.0;95.0;0.87;6.5;13.0;28.2;2.0;6.3;20.3;77.3;8.15006468305304
24.0;3.9;1.3;8.0;2.0;81.0;16.0;70.0;0.54;3.8;10.0;20.1;2.2;11.3;27.3;92.3;12.242686890574216
30.0;4.0;1.5;5.0;2.0;79.0;13.0;36.0;0.76;5.8;14.0;22.2;2.0;8.5;21.5;87.5;9.714285714285714
21.0;4.2;1.6;5.0;3.0;63.0;12.0;42.0;0.59;4.8;12.0;11.1;1.8;9.6;21.6;72.6;13.223140495867769
23.0;3.9;1.7;7.0;3.0;74.0;17.0;50.0;0.31;6.2;23.0;21.8;1.8;11.7;28.7;85.7;13.65227537922987
20.0;4.1;1.7;6.0;3.0;55.0;13.0;39.0;0.56;5.0;12.0;7.8;1.6;10.7;23.7;65.7;16.28614916286149
21.0;4.2;1.5;10.0;4.0;98.0;3.0;9.0;0.24;7.9;16.0;22.0;2.3;15.5;18.5;113.5;13.656387665198238
21.0;3.9;1.6;8.0;2.0;72.0;14.0;78.0;0.84;5.1;11.0;24.2;1.6;11.6;25.6;83.6;13.875598086124402
19.0;4.0;1.7;6.0;1.0;99.0;14.0;63.0;0.55;5.9;15.0;13.9;2.1;8.7;22.7;107.7;8.077994428969358
19.0;3.9;1.6;9.0;2.0;72.0;15.0;59.0;0.4;6.6;16.0;24.4;2.3;12.6;27.6;84.6;14.893617021276595
22.0;4.0;1.5;6.0;2.0;62.0;13.0;62.0;0.8;6.0;12.0;20.0;1.9;9.5;22.5;71.5;13.286713286713287
20.0;4.1;1.3;7.0;3.0;80.0;14.0;68.0;0.65;5.4;13.0;14.9;3.2;11.3;25.3;91.3;12.376779846659366
20.0;4.0;1.5;7.0;2.0;75.0;13.0;59.0;0.4;6.0;13.0;23.3;2.0;10.5;23.5;85.5;12.280701754385964
22.0;4.0;1.3;9.0;4.0;68.0;14.0;61.0;0.89;6.0;18.0;16.0;2.0;14.3;28.3;82.3;17.375455650060758
22.0;4.1;1.6;7.0;2.0;19.0;11.0;55.0;0.87;5.6;18.0;15.0;1.8;10.6;21.6;29.6;35.81081081081081
20.0;4.1;1.5;6.0;1.0;83.0;9.0;53.0;0.59;6.6;13.0;14.3;2.0;8.5;17.5;91.5;9.289617486338798
20.0;4.1;1.2;5.0;2.0;97.0;13.0;46.0;0.71;4.5;12.0;12.1;1.9;8.2;21.2;105.2;7.794676806083649
18.0;4.0;1.5;6.0;1.0;65.0;15.0;57.0;0.66;7.1;18.0;32.7;2.3;8.5;23.5;73.5;11.564625850340136
24.0;3.9;1.6;6.0;2.0;98.0;20.0;63.0;0.49;7.1;17.0;21.9;2.1;9.6;29.6;107.6;8.921933085501859
22.0;3.9;1.6;5.0;2.0;88.0;19.0;68.0;0.43;7.2;19.0;21.4;2.5;8.6;27.6;96.6;8.902691511387163
21.0;4.0;1.7;6.0;2.0;70.0;12.0;50.0;0.56;7.0;14.0;14.8;1.8;9.7;21.7;79.7;12.170639899623586
19.0;4.0;1.6;5.0;2.0;68.0;12.0;55.0;0.66;6.4;14.0;16.0;1.9;8.6;20.6;76.6;11.22715404699739
20.0;4.1;1.5;5.0;2.0;73.0;10.0;35.0;0.47;6.8;14.0;11.4;1.8;8.5;18.5;81.5;10.429447852760736
19.0;4.2;1.6;6.0;2.0;68.0;13.0;53.0;0.31;6.4;14.0;19.6;2.0;9.6;22.6;77.6;12.371134020618557
22.0;3.9;1.3;6.0;2.0;80.0;13.0;51.0;0.51;6.9;19.0;20.6;1.9;9.3;22.3;89.3;10.414333706606945
19.0;4.0;1.5;5.0;2.0;65.0;15.0;58.0;0.73;7.6;17.0;26.7;2.0;8.5;23.5;73.5;11.564625850340136
17.0;4.0;1.7;5.0;2.0;65.0;13.0;6.0;0.45;6.4;12.0;0.7;2.0;8.7;21.7;73.7;11.80461329715061
21.0;4.0;1.4;6.0;1.0;88.0;12.0;56.0;0.57;6.4;18.0;19.2;2.1;8.4;20.4;96.4;8.71369294605809
23.0;4.1;1.1;5.0;1.0;65.0;19.0;65.0;0.82;2.6;2.0;5.8;0.9;7.1;26.1;72.1;9.847434119278779
26.0;3.9;0.9;4.0;2.0;61.0;11.0;59.0;0.98;6.7;15.0;22.0;2.0;6.9;17.9;67.9;10.1620029455081
20.0;3.9;1.4;6.0;1.0;82.0;12.0;62.0;0.61;6.8;18.0;13.3;2.0;8.4;20.4;90.4;9.292035398230087
21.0;4.0;1.4;6.0;1.0;88.0;11.0;59.0;0.57;7.5;18.0;12.0;2.0;8.4;19.4;96.4;8.71369294605809
23.0;4.0;1.3;5.0;1.0;72.0;14.0;74.0;0.4;6.5;17.0;16.0;2.6;7.3;21.3;79.3;9.205548549810844
22.0;4.0;1.0;3.0;1.0;77.0;11.0;80.0;0.43;6.7;19.0;17.5;3.0;5.0;16.0;82.0;6.097560975609756
21.0;4.0;1.4;7.0;3.0;74.0;12.0;72.0;0.58;5.1;19.0;17.4;2.0;11.4;23.4;85.4;13.34894613583138
18.0;4.0;1.7;7.0;1.0;76.0;13.0;73.0;0.59;7.0;14.0;22.8;2.4;9.7;22.7;85.7;11.318553092182029
20.0;4.0;1.4;7.0;2.0;75.0;8.0;58.0;0.56;6.6;14.0;40.0;2.0;10.4;18.4;85.4;12.177985948477751
17.0;4.1;1.4;4.0;2.0;76.0;12.0;40.0;0.43;5.8;12.0;18.3;2.1;7.4;19.4;83.4;8.872901678657074
21.0;4.1;0.9;8.0;3.0;61.0;13.0;59.0;0.68;5.2;41.0;11.6;1.9;11.9;24.9;72.9;16.323731138545952
20.0;4.0;1.4;6.0;1.0;80.0;11.0;16.0;0.56;6.3;19.0;33.9;2.3;8.4;19.4;88.4;9.502262443438914
17.0;4.1;1.3;7.0;2.0;76.0;7.0;65.0;0.47;7.5;19.0;38.5;2.5;10.3;17.3;86.3;11.9351100811124
21.0;3.9;1.2;6.0;2.0;84.0;12.0;56.0;0.71;7.1;19.0;12.6;2.1;9.2;21.2;93.2;9.871244635193133
35.0;3.9;2.0;4.0;1.0;76.0;8.0;54.0;0.32;6.3;14.0;20.8;1.9;7.0;15.0;83.0;8.433734939759036
19.0;4.1;1.6;9.0;3.0;68.0;11.0;52.0;0.91;5.5;16.0;27.6;1.7;13.6;24.6;81.6;16.666666666666668
18.0;4.1;1.6;8.0;2.0;72.0;15.0;58.0;0.43;5.7;11.0;25.0;2.0;11.6;26.6;83.6;13.875598086124402
19.0;3.8;1.6;7.0;2.0;72.0;12.0;55.0;0.44;6.2;13.0;31.8;2.0;10.6;22.6;82.6;12.832929782082324
17.0;3.9;2.0;6.0;2.0;80.0;10.0;70.0;0.4;7.1;15.0;9.2;2.2;10.0;20.0;90.0;11.11111111111111
19.0;3.7;1.6;8.0;2.0;77.0;14.0;54.0;0.48;6.4;12.0;17.1;2.1;11.6;25.6;88.6;13.092550790067719
20.0;4.2;1.6;9.0;3.0;60.0;10.0;35.0;0.27;6.2;18.0;19.6;2.6;13.6;23.6;73.6;18.47826086956522
16.0;3.8;1.7;7.0;1.0;84.0;13.0;49.0;0.74;5.7;19.0;29.8;2.4;9.7;22.7;93.7;10.352187833511204
20.0;4.1;1.6;7.0;3.0;70.0;13.0;38.0;0.34;6.3;18.0;18.7;2.3;11.6;24.6;81.6;14.215686274509803
20.0;4.2;1.6;5.0;1.0;66.0;12.0;43.0;0.67;6.9;20.0;23.0;2.2;7.6;19.6;73.6;10.326086956521738
21.0;4.1;1.5;9.0;3.0;60.0;9.0;35.0;0.27;6.1;18.0;20.0;2.5;13.5;22.5;73.5;18.367346938775512
19.0;4.3;1.5;5.0;2.0;68.0;14.0;36.0;0.35;6.4;2.0;21.0;2.0;8.5;22.5;76.5;11.11111111111111
16.0;4.0;1.7;6.0;2.0;60.0;12.0;56.0;0.3;5.9;14.0;21.6;2.2;9.7;21.7;69.7;13.916786226685796
19.0;4.0;2.4;9.0;4.0;57.0;9.0;35.0;0.6;5.0;23.0;15.0;2.0;15.4;24.4;72.4;21.270718232044196
20.0;4.3;1.7;8.0;2.0;65.0;14.0;78.0;0.2;6.9;17.0;34.8;2.3;11.7;25.7;76.7;15.254237288135592
23.0;3.8;1.2;9.0;4.0;53.0;8.0;36.0;0.1;4.8;18.0;13.3;1.3;14.2;22.2;67.2;21.13095238095238
16.0;4.1;1.3;10.0;4.0;44.0;11.0;38.0;0.58;5.3;14.0;11.0;1.9;15.3;26.3;59.3;25.801011804384487
20.0;4.1;1.7;7.0;2.0;73.0;14.0;102.0;0.28;7.6;18.0;39.9;2.4;10.7;24.7;83.7;12.78375149342891
22.0;4.1;2.5;8.0;3.0;56.0;10.0;42.0;0.38;8.0;20.0;12.0;2.5;13.5;23.5;69.5;19.424460431654676
20.0;3.9;1.5;7.0;2.0;69.0;10.0;90.0;0.47;5.7;14.0;12.8;2.1;10.5;20.5;79.5;13.20754716981132
21.0;4.3;1.6;8.0;3.0;58.0;9.0;38.0;0.3;6.3;20.0;14.0;2.5;12.6;21.6;70.6;17.84702549575071
18.0;4.0;1.9;9.0;2.0;76.0;15.0;59.0;0.58;6.5;13.0;30.9;2.2;12.9;27.9;88.9;14.510686164229472
19.0;4.0;1.3;6.0;1.0;82.0;12.0;55.0;0.75;6.8;19.0;13.2;2.2;8.3;20.3;90.3;9.191583610188262
17.0;3.9;1.3;6.0;1.0;73.0;8.0;56.0;0.55;6.5;14.0;46.5;2.3;8.3;16.3;81.3;10.209102091020911
20.0;4.1;1.3;5.0;2.0;85.0;16.0;106.0;0.58;5.5;17.0;23.9;2.1;8.3;24.3;93.3;8.89603429796356
17.0;4.0;1.5;7.0;2.0;70.0;8.0;67.0;0.5;6.2;15.0;42.5;2.4;10.5;18.5;80.5;13.043478260869565
20.0;4.0;1.4;7.0;1.0;75.0;12.0;43.0;0.63;6.8;17.0;38.6;2.1;9.4;21.4;84.4;11.137440758293838
22.0;4.0;1.6;8.0;1.0;70.0;12.0;49.0;0.57;5.6;7.0;22.7;2.0;10.6;22.6;80.6;13.151364764267989
19.0;4.0;1.3;6.0;1.0;75.0;12.0;53.0;0.65;6.1;13.0;22.0;2.2;8.3;20.3;83.3;9.963985594237696
19.0;4.2;1.7;7.0;2.0;64.0;15.0;82.0;0.2;7.3;19.0;33.6;2.2;10.7;25.7;74.7;14.323962516733598
20.0;4.0;1.5;7.0;1.0;68.0;13.0;62.0;0.67;6.6;15.0;34.5;2.1;9.5;22.5;77.5;12.258064516129032
22.0;4.0;1.5;5.0;1.0;78.0;12.0;68.0;0.75;5.8;17.0;18.6;1.8;7.5;19.5;85.5;8.771929824561402
21.0;4.0;1.7;5.0;2.0;79.0;13.0;71.0;1.04;6.0;12.0;26.7;2.3;8.7;21.7;87.7;9.920182440136829
20.0;4.0;1.5;5.0;1.0;72.0;15.0;72.0;0.5;6.7;16.0;12.3;2.2;7.5;22.5;79.5;9.433962264150944
19.0;3.9;1.4;6.0;1.0;64.0;9.0;64.0;0.47;7.3;19.0;27.1;1.8;8.4;17.4;72.4;11.602209944751381
23.0;4.0;2.2;7.0;2.0;75.0;12.0;61.0;1.02;4.8;14.0;17.0;2.1;11.2;23.2;86.2;12.993039443155451
24.0;4.1;2.7;4.0;2.0;85.0;9.0;40.0;0.56;7.1;15.0;8.1;1.8;8.7;17.7;93.7;9.284951974386338
16.0;4.6;5.0;24.0;8.0;33.0;1.0;5.0;0.14;2.3;37.0;0.4;1.9;37.0;38.0;70.0;52.85714285714286
19.0;4.3;4.3;19.0;7.0;42.0;4.0;10.0;0.15;4.7;49.0;7.0;3.3;30.3;34.3;72.3;41.90871369294606
18.0;4.5;5.5;24.0;8.0;32.0;2.0;7.0;0.18;3.6;47.0;2.0;2.7;37.5;39.5;69.5;53.956834532374096
18.0;4.5;4.4;20.0;7.0;36.0;4.0;5.0;0.21;3.1;42.0;2.2;1.8;31.4;35.4;67.4;46.587537091988125
18.0;4.5;5.0;22.0;7.0;34.0;3.0;11.0;0.32;4.8;47.0;3.8;2.4;34.0;37.0;68.0;50.0
15.0;4.6;4.7;24.0;8.0;34.0;3.0;4.0;0.12;2.6;48.0;1.4;2.0;36.7;39.7;70.7;51.90947666195191
16.0;4.5;5.1;25.0;8.0;31.0;3.0;9.0;0.3;3.4;41.0;2.9;2.6;38.1;41.1;69.1;55.137481910274964
18.0;4.6;4.9;19.0;9.0;33.0;3.0;6.0;0.17;3.7;37.0;3.7;2.5;32.9;35.9;65.9;49.92412746585735
17.0;4.6;4.8;19.0;9.0;33.0;3.0;6.0;0.18;3.7;37.0;3.7;2.3;32.8;35.8;65.8;49.84802431610942
22.0;4.5;4.8;27.0;9.0;33.0;2.0;8.0;0.2;3.3;41.0;1.3;2.5;40.8;42.8;73.8;55.28455284552846
23.0;4.6;4.1;18.0;5.0;32.0;4.0;11.0;0.22;3.7;44.0;2.7;2.6;27.1;31.1;59.1;45.854483925549914
15.0;4.5;3.8;22.0;4.0;35.0;3.0;7.0;0.15;2.3;40.0;3.0;2.7;29.8;32.8;64.8;45.98765432098766
24.0;4.5;4.0;15.0;5.0;36.0;1.0;6.0;0.26;3.4;38.0;2.7;2.6;24.0;25.0;60.0;40.0
19.0;4.6;4.5;25.0;9.0;32.0;2.0;8.0;0.2;2.9;42.0;2.1;2.3;38.5;40.5;70.5;54.60992907801418
21.0;4.5;5.6;16.0;7.0;38.0;3.0;7.0;0.23;3.2;56.0;2.9;2.1;28.6;31.6;66.6;42.94294294294295
18.0;4.5;4.7;26.0;9.0;30.0;3.0;10.0;0.2;3.1;44.0;3.1;2.4;39.7;42.7;69.7;56.9583931133429
18.0;4.7;1.1;17.0;6.0;98.0;1.0;8.0;0.2;4.8;35.0;4.0;2.9;24.1;25.1;122.1;19.73791973791974
18.0;4.4;4.6;25.0;8.0;34.0;3.0;6.0;0.18;2.8;36.0;2.3;2.0;37.6;40.6;71.6;52.51396648044694
18.0;4.4;6.2;26.0;9.0;45.0;4.0;7.0;0.2;3.6;67.0;1.8;2.7;41.2;45.2;86.2;47.79582366589327
19.0;4.4;5.0;26.0;5.0;34.0;4.0;7.0;0.15;3.6;44.0;2.6;2.7;36.0;40.0;70.0;51.42857142857142
21.0;4.5;4.6;28.0;9.0;34.0;4.0;6.0;0.24;3.3;42.0;2.2;2.2;41.6;45.6;75.6;55.02645502645503
20.0;4.6;5.4;24.0;10.0;40.0;3.0;7.0;0.23;3.1;45.0;2.7;6.8;39.4;42.4;79.4;49.62216624685138
22.0;4.5;5.3;23.0;8.0;36.0;4.0;8.0;0.17;3.2;45.0;2.3;2.4;36.3;40.3;72.3;50.20746887966805
21.0;4.5;4.0;27.0;12.0;36.0;4.0;6.0;0.24;3.4;45.0;2.0;2.4;43.0;47.0;79.0;54.43037974683544
19.0;4.4;5.1;25.0;8.0;36.0;5.0;7.0;0.24;3.4;44.0;2.2;2.2;38.1;43.1;74.1;51.417004048583
19.0;4.6;4.6;23.0;7.0;41.0;4.0;7.0;0.12;3.7;50.0;1.5;2.7;34.6;38.6;75.6;45.76719576719577
19.0;4.5;4.7;25.0;8.0;34.0;3.0;8.0;0.17;3.2;50.0;4.0;2.6;37.7;40.7;71.7;52.58019525801952
17.0;4.5;5.6;22.0;8.0;34.0;3.0;8.0;0.24;3.7;55.0;3.1;2.9;35.6;38.6;69.6;51.14942528735633
22.0;4.4;5.2;20.0;10.0;42.0;5.0;6.0;0.14;3.8;41.0;3.0;2.6;35.2;40.2;77.2;45.59585492227979
20.0;4.4;5.7;17.0;9.0;42.0;6.0;8.0;0.15;4.0;47.0;3.1;2.8;31.7;37.7;73.7;43.01221166892809
19.0;4.5;5.0;23.0;8.0;34.0;2.0;8.0;0.24;3.6;40.0;1.5;2.4;36.0;38.0;70.0;51.42857142857142
20.0;4.5;5.2;24.0;8.0;34.0;3.0;7.0;0.21;3.6;41.0;1.7;2.4;37.2;40.2;71.2;52.24719101123596
20.0;4.5;4.6;22.0;7.0;35.0;2.0;7.0;0.22;3.5;42.0;1.2;2.2;33.6;35.6;68.6;48.9795918367347
20.0;4.6;5.0;23.0;9.0;34.0;3.0;8.0;0.1;3.8;48.0;1.8;2.4;37.0;40.0;71.0;52.112676056338024
20.0;4.5;4.4;20.0;7.0;36.0;3.0;6.0;0.2;3.8;56.0;3.6;2.2;31.4;34.4;67.4;46.587537091988125
20.0;4.5;4.9;20.0;8.0;30.0;4.0;7.0;0.22;4.1;47.0;2.9;2.6;32.9;36.9;62.9;52.30524642289348
15.0;4.5;5.0;18.0;8.0;28.0;8.0;34.0;0.17;3.9;41.0;3.0;2.9;31.0;39.0;59.0;52.54237288135594
20.0;4.5;4.5;22.0;8.0;36.0;2.0;7.0;0.19;4.0;61.0;2.3;2.3;34.5;36.5;70.5;48.93617021276596
25.0;4.6;4.0;27.0;9.0;36.0;4.0;12.0;0.24;2.6;24.0;0.9;1.7;40.0;44.0;76.0;52.63157894736842
29.0;4.5;3.3;26.0;6.0;34.0;3.0;13.0;0.3;4.3;35.0;3.2;2.9;35.3;38.3;69.3;50.93795093795094
19.0;4.5;4.0;20.0;7.0;35.0;2.0;8.0;0.22;3.9;50.0;1.1;2.3;31.0;33.0;66.0;46.96969696969697
20.0;4.5;3.6;23.0;7.0;36.0;2.0;7.0;0.18;4.0;60.0;1.0;2.3;33.6;35.6;69.6;48.27586206896552
21.0;4.4;5.4;19.0;6.0;36.0;4.0;5.0;0.18;4.3;57.0;1.6;2.8;30.4;34.4;66.4;45.783132530120476
24.0;4.5;5.4;21.0;7.0;33.0;4.0;9.0;0.22;6.1;42.0;6.0;3.1;33.4;37.4;66.4;50.3012048192771
22.0;4.6;5.8;24.0;8.0;35.0;3.0;7.0;0.12;2.9;50.0;2.0;2.6;37.8;40.8;72.8;51.92307692307692
19.0;4.6;5.3;19.0;7.0;35.0;3.0;9.0;0.21;4.0;52.0;2.7;3.2;31.3;34.3;66.3;47.209653092006036
18.0;4.5;4.2;22.0;8.0;38.0;2.0;7.0;0.21;4.0;41.0;5.0;2.6;34.2;36.2;72.2;47.36842105263158
18.0;4.6;5.3;21.0;9.0;31.0;4.0;6.0;0.26;3.8;47.0;4.0;2.6;35.3;39.3;66.3;53.242835595776775
20.0;4.6;4.0;18.0;7.0;33.0;1.0;5.0;0.17;2.9;31.0;3.7;2.2;29.0;30.0;62.0;46.774193548387096
17.0;4.5;5.7;22.0;7.0;34.0;2.0;8.0;0.19;3.5;44.0;3.1;2.8;34.7;36.7;68.7;50.509461426491995
16.0;4.6;5.0;23.0;9.0;39.0;2.0;8.0;0.21;4.4;54.0;4.9;3.0;37.0;39.0;76.0;48.68421052631579
20.0;4.4;4.0;23.0;9.0;36.0;2.0;7.0;0.2;4.0;56.0;1.5;2.4;36.0;38.0;72.0;50.0
76.0;4.5;4.4;17.0;6.0;33.0;3.0;11.0;0.12;3.5;43.0;1.8;3.0;27.4;30.4;60.4;45.36423841059602
19.0;4.7;6.3;27.0;12.0;31.0;1.0;11.0;0.3;3.9;78.0;3.3;2.6;45.3;46.3;76.3;59.37090432503276
17.0;4.7;6.5;27.0;9.0;36.0;5.0;7.0;0.34;3.2;43.0;2.7;2.4;42.5;47.5;78.5;54.14012738853503
20.0;4.4;5.1;24.0;8.0;38.0;4.0;7.0;0.16;3.1;44.0;2.1;2.4;37.1;41.1;75.1;49.40079893475367
17.0;4.4;4.5;21.0;7.0;38.0;3.0;14.0;0.09;3.8;45.0;1.3;2.6;32.5;35.5;70.5;46.09929078014184
18.0;4.3;5.2;21.0;8.0;39.0;3.0;8.0;0.34;4.1;41.0;1.6;2.5;34.2;37.2;73.2;46.72131147540984
19.0;4.4;4.7;24.0;9.0;40.0;3.0;8.0;0.18;3.5;44.0;3.7;3.0;37.7;40.7;77.7;48.51994851994852
14.0;4.4;4.7;31.0;9.0;38.0;3.0;10.0;0.16;3.0;55.0;3.5;3.0;44.7;47.7;82.7;54.05078597339783
19.0;4.5;4.6;21.0;8.0;41.0;4.0;6.0;0.19;3.6;42.0;3.5;3.1;33.6;37.6;74.6;45.040214477211805
19.0;4.5;4.3;24.0;8.0;29.0;3.0;8.0;0.18;3.9;51.0;3.7;2.7;36.3;39.3;65.3;55.5895865237366
19.0;4.3;4.8;24.0;9.0;40.0;2.0;7.0;0.18;3.4;44.0;3.7;2.9;37.8;39.8;77.8;48.58611825192802
20.0;4.7;4.4;23.0;8.0;36.0;3.0;10.0;0.16;3.6;40.0;3.6;2.4;35.4;38.4;71.4;49.579831932773104
15.0;4.5;4.8;23.0;9.0;41.0;3.0;7.0;0.22;3.3;46.0;2.8;3.0;36.8;39.8;77.8;47.300771208226216
21.0;4.5;5.9;23.0;8.0;36.0;4.0;7.0;0.3;4.0;55.0;4.0;3.0;36.9;40.9;72.9;50.61728395061728
18.0;4.9;5.9;26.0;8.0;33.0;4.0;10.0;0.18;4.0;50.0;3.5;2.9;39.9;43.9;72.9;54.73251028806584
26.0;2.9;6.2;9.0;3.0;41.0;3.0;5.0;0.13;3.8;48.0;7.0;1.7;18.2;21.2;59.2;30.74324324324324
17.0;4.6;5.1;22.0;8.0;32.0;2.0;8.0;0.18;3.4;43.0;1.3;2.4;35.1;37.1;67.1;52.30998509687035
20.0;4.6;5.1;25.0;9.0;36.0;3.0;10.0;0.08;4.6;53.0;4.5;3.2;39.1;42.1;75.1;52.063914780292954
20.0;4.5;5.5;22.0;8.0;35.0;4.0;8.0;0.24;4.0;55.0;3.0;3.0;35.5;39.5;70.5;50.35460992907801
19.0;4.4;4.6;21.0;9.0;35.0;4.0;6.0;0.18;3.2;48.0;1.5;2.3;34.6;38.6;69.6;49.71264367816093
20.0;4.5;4.6;25.0;9.0;36.0;3.0;7.0;0.18;3.4;50.0;2.4;3.2;38.6;41.6;74.6;51.742627345844504
18.0;4.5;6.1;26.0;9.0;34.0;2.0;9.0;0.18;3.5;27.0;2.9;2.6;41.1;43.1;75.1;54.72703062583223
20.0;4.5;4.1;25.0;9.0;35.0;3.0;8.0;0.21;3.8;53.0;1.7;2.5;38.1;41.1;73.1;52.12038303693571
16.0;4.4;4.1;21.0;8.0;34.0;2.0;7.0;0.23;4.0;41.0;5.9;2.8;33.1;35.1;67.1;49.32935916542475
19.0;4.5;4.2;22.0;9.0;38.0;3.0;9.0;0.15;3.5;53.0;2.3;2.6;35.2;38.2;73.2;48.087431693989075
18.0;4.5;4.7;24.0;9.0;38.0;2.0;8.0;0.21;3.9;43.0;5.3;2.7;37.7;39.7;75.7;49.80184940554822
20.0;4.6;4.3;22.0;9.0;33.0;2.0;4.0;0.13;4.1;53.0;3.8;2.6;35.3;37.3;68.3;51.683748169838935
23.0;4.5;5.0;25.0;8.0;32.0;3.0;8.0;0.19;3.3;31.0;2.7;2.5;38.0;41.0;70.0;54.285714285714285
20.0;4.5;4.3;26.0;9.0;35.0;3.0;8.0;0.2;3.4;40.0;2.8;2.5;39.3;42.3;74.3;52.89367429340511
18.0;4.7;5.8;23.0;9.0;33.0;4.0;10.0;0.2;3.9;49.0;3.6;2.6;37.8;41.8;70.8;53.38983050847458
18.0;4.6;5.2;25.0;8.0;33.0;3.0;8.0;0.16;3.8;48.0;3.2;2.7;38.2;41.2;71.2;53.65168539325843
21.0;4.5;5.2;20.0;8.0;42.0;3.0;7.0;0.18;3.3;41.0;1.9;2.3;33.2;36.2;75.2;44.148936170212764
20.0;4.6;5.4;15.0;5.0;36.0;3.0;10.0;0.32;3.4;41.0;2.1;2.8;25.4;28.4;61.4;41.36807817589576
18.0;4.5;6.7;26.0;10.0;34.0;3.0;6.0;0.2;3.7;54.0;3.2;2.3;42.7;45.7;76.7;55.67144719687093
19.0;4.5;5.1;25.0;8.0;30.0;2.0;7.0;0.14;3.7;47.0;2.3;2.1;38.1;40.1;68.1;55.947136563876654
20.0;4.5;5.7;27.0;7.0;28.0;4.0;5.0;0.25;3.8;50.0;2.2;2.9;39.7;43.7;67.7;58.64106351550961
23.0;4.6;6.6;21.0;6.0;34.0;1.0;7.0;0.2;4.1;59.0;0.8;2.7;33.6;34.6;67.6;49.70414201183432
